Year,Week,Crest,Colgate,Fecha
1958,1,0.108,0.424,06/01/1958
1958,2,0.166,0.482,13/01/1958
1958,3,0.126,0.428,20/01/1958
1958,4,0.115,0.397,27/01/1958
1958,5,0.119,0.352,03/02/1958
1958,6,0.176,0.342,10/02/1958
1958,7,0.155,0.434,17/02/1958
1958,8,0.118,0.445,24/02/1958
1958,9,0.136,0.428,03/03/1958
1958,10,0.137,0.395,10/03/1958
1958,11,0.124,0.354,17/03/1958
1958,12,0.131,0.497,24/03/1958
1958,13,0.12,0.425,31/03/1958
1958,14,0.133,0.401,07/04/1958
1958,15,0.067,0.363,14/04/1958
1958,16,0.086,0.341,21/04/1958
1958,17,0.14,0.464,28/04/1958
1958,18,0.122,0.431,05/05/1958
1958,19,0.105,0.405,12/05/1958
1958,20,0.079,0.46,19/05/1958
1958,21,0.13,0.41,26/05/1958
1958,22,0.142,0.423,02/06/1958
1958,23,0.12,0.31,09/06/1958
1958,24,0.115,0.413,16/06/1958
1958,25,0.103,0.411,23/06/1958
1958,26,0.078,0.452,30/06/1958
1958,27,0.093,0.405,07/07/1958
1958,28,0.086,0.29,14/07/1958
1958,29,0.099,0.342,21/07/1958
1958,30,0.078,0.311,28/07/1958
1958,31,0.095,0.327,04/08/1958
1958,32,0.094,0.413,11/08/1958
1958,33,0.056,0.4,18/08/1958
1958,34,0.05,0.38,25/08/1958
1958,35,0.065,0.371,01/09/1958
1958,36,0.091,0.344,08/09/1958
1958,37,0.094,0.345,15/09/1958
1958,38,0.124,0.363,22/09/1958
1958,39,0.153,0.392,29/09/1958
1958,40,0.078,0.379,06/10/1958
1958,41,0.114,0.349,13/10/1958
1958,42,0.088,0.337,20/10/1958
1958,43,0.165,0.235,27/10/1958
1958,44,0.16,0.25,03/11/1958
1958,45,0.075,0.36,10/11/1958
1958,46,0.118,0.282,17/11/1958
1958,47,0.1,0.257,24/11/1958
1958,48,0.102,0.345,01/12/1958
1958,49,0.131,0.344,08/12/1958
1958,50,0.148,0.358,15/12/1958
1958,51,0.137,0.322,22/12/1958
1958,52,0.09,0.332,29/12/1958
1959,1,0.088,0.315,05/01/1959
1959,2,0.172,0.316,12/01/1959
1959,3,0.111,0.341,19/01/1959
1959,4,0.097,0.387,26/01/1959
1959,5,0.098,0.402,02/02/1959
1959,6,0.09,0.347,09/02/1959
1959,7,0.127,0.414,16/02/1959
1959,8,0.116,0.426,23/02/1959
1959,9,0.137,0.322,02/03/1959
1959,10,0.111,0.372,09/03/1959
1959,11,0.107,0.381,16/03/1959
1959,12,0.097,0.339,23/03/1959
1959,13,0.134,0.405,30/03/1959
1959,14,0.16,0.304,06/04/1959
1959,15,0.147,0.439,13/04/1959
1959,16,0.104,0.336,20/04/1959
1959,17,0.128,0.405,27/04/1959
1959,18,0.128,0.359,04/05/1959
1959,19,0.165,0.379,11/05/1959
1959,20,0.184,0.303,18/05/1959
1959,21,0.172,0.34,25/05/1959
1959,22,0.207,0.312,01/06/1959
1959,23,0.221,0.291,08/06/1959
1959,24,0.159,0.259,15/06/1959
1959,25,0.198,0.342,22/06/1959
1959,26,0.197,0.458,29/06/1959
1959,27,0.251,0.275,06/07/1959
1959,28,0.146,0.34,13/07/1959
1959,29,0.133,0.385,20/07/1959
1959,30,0.243,0.338,27/07/1959
1959,31,0.192,0.37,03/08/1959
1959,32,0.15,0.29,10/08/1959
1959,33,0.221,0.325,17/08/1959
1959,34,0.183,0.337,24/08/1959
1959,35,0.136,0.338,31/08/1959
1959,36,0.206,0.323,07/09/1959
1959,37,0.127,0.357,14/09/1959
1959,38,0.139,0.381,21/09/1959
1959,39,0.189,0.371,28/09/1959
1959,40,0.194,0.294,05/10/1959
1959,41,0.114,0.384,12/10/1959
1959,42,0.229,0.286,19/10/1959
1959,43,0.148,0.335,26/10/1959
1959,44,0.155,0.31,02/11/1959
1959,45,0.106,0.304,09/11/1959
1959,46,0.156,0.305,16/11/1959
1959,47,0.053,0.403,23/11/1959
1959,48,0.112,0.365,30/11/1959
1959,49,0.084,0.305,07/12/1959
1959,50,0.191,0.172,14/12/1959
1959,51,0.149,0.321,21/12/1959
1959,52,0.143,0.343,28/12/1959
1960,1,0.094,0.354,04/01/1960
1960,2,0.184,0.316,11/01/1960
1960,3,0.205,0.292,18/01/1960
1960,4,0.206,0.305,25/01/1960
1960,5,0.191,0.294,01/02/1960
1960,6,0.195,0.289,08/02/1960
1960,7,0.179,0.301,15/02/1960
1960,8,0.272,0.304,22/02/1960
1960,9,0.203,0.306,29/02/1960
1960,10,0.165,0.405,07/03/1960
1960,11,0.138,0.344,14/03/1960
1960,12,0.216,0.353,21/03/1960
1960,13,0.132,0.383,28/03/1960
1960,14,0.12,0.349,04/04/1960
1960,15,0.083,0.374,11/04/1960
1960,16,0.118,0.411,18/04/1960
1960,17,0.125,0.287,25/04/1960
1960,18,0.109,0.42,02/05/1960
1960,19,0.119,0.47,09/05/1960
1960,20,0.154,0.354,16/05/1960
1960,21,0.122,0.392,23/05/1960
1960,22,0.126,0.421,30/05/1960
1960,23,0.126,0.435,06/06/1960
1960,24,0.13,0.424,13/06/1960
1960,25,0.158,0.344,20/06/1960
1960,26,0.141,0.369,27/06/1960
1960,27,0.145,0.364,04/07/1960
1960,28,0.127,0.386,11/07/1960
1960,29,0.171,0.406,18/07/1960
1960,30,0.152,0.439,25/07/1960
1960,31,0.211,0.345,01/08/1960
1960,32,0.309,0.291,08/08/1960
1960,33,0.242,0.292,15/08/1960
1960,34,0.38,0.249,22/08/1960
1960,35,0.362,0.283,29/08/1960
1960,36,0.328,0.301,05/09/1960
1960,37,0.359,0.28,12/09/1960
1960,38,0.352,0.251,19/09/1960
1960,39,0.322,0.303,26/09/1960
1960,40,0.333,0.274,03/10/1960
1960,41,0.365,0.328,10/10/1960
1960,42,0.367,0.244,17/10/1960
1960,43,0.305,0.323,24/10/1960
1960,44,0.298,0.288,31/10/1960
1960,45,0.307,0.293,07/11/1960
1960,46,0.318,0.321,14/11/1960
1960,47,0.28,0.33,21/11/1960
1960,48,0.298,0.273,28/11/1960
1960,49,0.336,0.304,05/12/1960
1960,50,0.339,0.292,12/12/1960
1960,51,0.344,0.251,19/12/1960
1960,52,0.31,0.35,26/12/1960
1961,1,0.317,0.302,02/01/1961
1961,2,0.369,0.306,09/01/1961
1961,3,0.32,0.272,16/01/1961
1961,4,0.29,0.296,23/01/1961
1961,5,0.361,0.265,30/01/1961
1961,6,0.235,0.364,06/02/1961
1961,7,0.32,0.284,13/02/1961
1961,8,0.337,0.33,20/02/1961
1961,9,0.289,0.351,27/02/1961
1961,10,0.339,0.336,06/03/1961
1961,11,0.187,0.383,13/03/1961
1961,12,0.414,0.214,20/03/1961
1961,13,0.373,0.26,27/03/1961
1961,14,0.265,0.298,03/04/1961
1961,15,0.316,0.248,10/04/1961
1961,16,0.245,0.308,17/04/1961
1961,17,0.328,0.356,24/04/1961
1961,18,0.368,0.278,01/05/1961
1961,19,0.287,0.314,08/05/1961
1961,20,0.369,0.214,15/05/1961
1961,21,0.406,0.253,22/05/1961
1961,22,0.316,0.287,29/05/1961
1961,23,0.362,0.238,05/06/1961
1961,24,0.308,0.253,12/06/1961
1961,25,0.286,0.336,19/06/1961
1961,26,0.42,0.255,26/06/1961
1961,27,0.299,0.249,03/07/1961
1961,28,0.383,0.195,10/07/1961
1961,29,0.354,0.269,17/07/1961
1961,30,0.418,0.201,24/07/1961
1961,31,0.425,0.184,31/07/1961
1961,32,0.445,0.203,07/08/1961
1961,33,0.408,0.193,14/08/1961
1961,34,0.282,0.322,21/08/1961
1961,35,0.41,0.261,28/08/1961
1961,36,0.425,0.183,04/09/1961
1961,37,0.358,0.289,11/09/1961
1961,38,0.393,0.243,18/09/1961
1961,39,0.375,0.302,25/09/1961
1961,40,0.273,0.35,02/10/1961
1961,41,0.237,0.401,09/10/1961
1961,42,0.331,0.332,16/10/1961
1961,43,0.335,0.351,23/10/1961
1961,44,0.395,0.28,30/10/1961
1961,45,0.357,0.308,06/11/1961
1961,46,0.296,0.299,13/11/1961
1961,47,0.307,0.199,20/11/1961
1961,48,0.39,0.283,27/11/1961
1961,49,0.298,0.333,04/12/1961
1961,50,0.381,0.233,11/12/1961
1961,51,0.354,0.296,18/12/1961
1961,52,0.436,0.267,25/12/1961
1962,1,0.357,0.253,01/01/1962
1962,2,0.427,0.239,08/01/1962
1962,3,0.432,0.155,15/01/1962
1962,4,0.45,0.247,22/01/1962
1962,5,0.53,0.201,29/01/1962
1962,6,0.431,0.266,05/02/1962
1962,7,0.42,0.29,12/02/1962
1962,8,0.411,0.231,19/02/1962
1962,9,0.423,0.255,26/02/1962
1962,10,0.433,0.242,05/03/1962
1962,11,0.393,0.271,12/03/1962
1962,12,0.389,0.266,19/03/1962
1962,13,0.387,0.244,26/03/1962
1962,14,0.439,0.204,02/04/1962
1962,15,0.421,0.213,09/04/1962
1962,16,0.363,0.295,16/04/1962
1962,17,0.401,0.254,23/04/1962
1962,18,0.394,0.242,30/04/1962
1962,19,0.459,0.228,07/05/1962
1962,20,0.441,0.181,14/05/1962
1962,21,0.388,0.264,21/05/1962
1962,22,0.373,0.277,28/05/1962
1962,23,0.385,0.284,04/06/1962
1962,24,0.314,0.248,11/06/1962
1962,25,0.347,0.28,18/06/1962
1962,26,0.408,0.249,25/06/1962
1962,27,0.341,0.279,02/07/1962
1962,28,0.361,0.282,09/07/1962
1962,29,0.414,0.267,16/07/1962
1962,30,0.38,0.252,23/07/1962
1962,31,0.274,0.19,30/07/1962
1962,32,0.352,0.284,06/08/1962
1962,33,0.439,0.207,13/08/1962
1962,34,0.355,0.327,20/08/1962
1962,35,0.435,0.259,27/08/1962
