Time;iPhone;iPad;iPod;Mac
31/12/1998;;;;944
31/03/1999;;;;827
30/06/1999;;;;905
30/09/1999;;;;772
31/12/1999;;;;1377
31/03/2000;;;;1043
30/06/2000;;;;1016
30/09/2000;;;;1122
31/12/2000;;;;659
31/03/2001;;;;751
30/06/2001;;;;827
30/09/2001;;;;850
31/12/2001;;;125;746
31/03/2002;;;62;813
30/06/2002;;;54;808
30/09/2002;;;140;734
31/12/2002;;;219;743
31/03/2003;;;80;711
30/06/2003;;;304;771
30/09/2003;;;336;787
31/12/2003;;;733;829
31/03/2004;;;807;749
30/06/2004;;;860;876
30/09/2004;;;2016;836
31/12/2004;;;4580;1046
31/03/2005;;;5311;1070
30/06/2005;;;6155;1182
30/09/2005;;;6451;1236
31/12/2005;;;14043;1254
31/03/2006;;;8526;1112
30/06/2006;;;8111;1327
30/09/2006;;;8729;1610
31/12/2006;;;21066;1606
31/03/2007;;;10549;1517
30/06/2007;270;;9815;1764
30/09/2007;1119;;10200;2164
31/12/2007;2315;;22121;2319
31/03/2008;1703;;10644;2289
30/06/2008;717;;11011;2496
30/09/2008;6892;;11052;2611
31/12/2008;4363;;22727;2524
31/03/2009;3793;;11013;2216
30/06/2009;5208;;10215;2603
30/09/2009;7367;;10177;3053
31/12/2009;8737;;20970;3362
31/03/2010;8752;;10885;2943
30/06/2010;8398;3270;9406;3472
30/09/2010;14102;4188;9051;3885
31/12/2010;16235;7331;19446;4134
31/03/2011;18647;4694;9017;3760
30/06/2011;20338;9246;7535;3947
30/09/2011;17073;11123;6622;4894
31/12/2011;37044;15434;15397;5198
31/03/2012;35064;11798;7673;4017
30/06/2012;26028;17042;6751;4020
30/09/2012;26910;14036;5344;4923
31/12/2012;47789;22860;12679;4061
31/03/2013;37430;19477;5633;3952
30/06/2013;31241;14617;4569;3754
30/09/2013;33797;14079;3498;4574
31/12/2013;51025;26035;6049;4837
31/03/2014;43719;16350;2761;4136
30/06/2014;35203;13276;2926;4413
30/09/2014;39272;12316;2641;5520
31/12/2014;74468;21419;;5519
31/03/2015;61170;12623;;4563
30/06/2015;47534;10931;;4796
30/09/2015;48050;9880;;5710
31/12/2015;74780;16120;;5310
31/03/2016;51200;10250;;4030
30/06/2016;40399;9950;;4252
30/09/2016;45505;9270;;4892
31/12/2016;78290;13081;;5374
31/03/2017;50763;8922;;4199
30/06/2017;41026;11424;;4292
30/09/2017;46677;10326;;5386
31/12/2017;77316;13170;;5112
31/03/2018;52217;9113;;4078
30/06/2018;41300;11553;;3720
30/09/2018;46889;9699;;5299
